date,closing
2001-07-02,73.2947
2001-07-03,73.1727
2001-07-05,72.2803
2001-07-06,70.5982
2001-07-09,71.0861
2001-07-10,70.0717
2001-07-11,69.9882
2001-07-12,71.6511
2001-07-13,72.1005
2001-07-16,71.3108
2001-07-17,72.0235
2001-07-18,71.6254
2001-07-19,72.062
2001-07-20,71.8116
2001-07-23,70.6367
2001-07-24,69.4874
2001-07-25,70.6046
2001-07-26,71.3365
2001-07-27,71.5227
2001-07-30,71.4456
2001-07-31,71.8437
2001-08-01,72.1326
2001-08-02,72.4279
2001-08-03,72.0492
2001-08-06,71.2338
2001-08-07,71.4649
2001-08-08,70.2386
2001-08-09,70.245
2001-08-10,70.6431
2001-08-13,70.7201
2001-08-14,70.4505
2001-08-15,69.9497
2001-08-16,70.168
2001-08-17,68.9995
2001-08-20,69.5581
2001-08-21,68.717
2001-08-22,69.2049
2001-08-23,69.0123
2001-08-24,70.3671
2001-08-27,70.0267
2001-08-28,68.9802
2001-08-29,68.2226
2001-08-30,67.067
2001-08-31,67.343
2001-09-04,67.2981
2001-09-05,67.2403
2001-09-06,65.738
2001-09-07,64.5117
2001-09-10,64.9161
2001-09-17,61.7381
2001-09-18,61.3849
2001-09-19,60.3962
2001-09-20,58.5215
2001-09-21,57.4034
2001-09-24,59.6395
2001-09-25,60.1615
2001-09-26,59.8715
2001-09-27,60.561
2001-09-28,61.8885
2001-10-01,61.7467
2001-10-02,62.5071
2001-10-03,63.7637
2001-10-04,63.609
2001-10-05,63.725
2001-10-08,63.1902
2001-10-09,62.8551
2001-10-10,64.305
2001-10-11,65.2845
2001-10-12,64.943
2001-10-15,64.8399
2001-10-16,65.2909
2001-10-17,64.0795
2001-10-18,63.5769
2001-10-19,63.8668
2001-10-22,64.8399
2001-10-23,64.537
2001-10-24,64.5627
2001-10-25,65.452
2001-10-26,65.7162
2001-10-29,64.1568
2001-10-30,63.0613
2001-10-31,63.0678
2001-11-01,64.5176
2001-11-02,64.7045
2001-11-05,65.6389
2001-11-06,66.5926
2001-11-07,66.4315
2001-11-08,66.5991
2001-11-09,66.7022
