date,closing
2000-11-13,19.521543502807617
2000-11-14,20.031879425048828
2000-11-15,20.154613494873047
2000-11-16,19.831626892089844
2000-11-17,19.74118995666504
2000-11-20,19.276079177856445
2000-11-21,19.282533645629883
2000-11-22,18.888492584228516
2000-11-24,19.269624710083008
2000-11-27,19.33422088623047
2000-11-28,19.030609130859375
2000-11-29,19.062908172607422
2000-11-30,18.68824005126953
2000-12-01,18.785131454467773
2000-12-04,18.85618782043457
2000-12-05,19.68951416015625
2000-12-06,19.347139358520508
2000-12-07,19.2437744140625
2000-12-08,19.76056671142578
2000-12-11,19.999584197998047
2000-12-12,19.799325942993164
2000-12-13,19.586156845092773
2000-12-14,19.250246047973633
2000-12-15,18.882028579711914
2000-12-18,19.017688751220703
2000-12-19,18.72054100036621
2000-12-20,18.069894790649414
2000-12-21,18.16737937927246
2000-12-22,18.71338653564453
2000-12-26,18.83039093017578
2000-12-27,19.08388900756836
2000-12-28,19.259382247924805
2000-12-29,19.01888084411621
2001-01-02,18.381887435913086
2001-01-03,19.34387969970703
2001-01-04,19.1033878326416
2001-01-05,18.550880432128906
2001-01-08,18.498886108398438
2001-01-09,18.59638786315918
2001-01-10,18.862884521484375
2001-01-11,19.11638832092285
2001-01-12,19.044878005981445
2001-01-16,19.174880981445312
2001-01-17,19.246379852294922
2001-01-18,19.46087074279785
2001-01-19,19.363380432128906
2001-01-22,19.36989402770996
2001-01-23,19.67538070678711
2001-01-24,19.74688148498535
2001-01-25,19.6038875579834
2001-01-26,19.584367752075195
2001-01-29,19.759878158569336
2001-01-30,19.889877319335938
2001-01-31,19.75337791442871
2001-02-01,19.831377029418945
2001-02-02,19.467384338378906
2001-02-05,19.506380081176758
2001-02-06,19.519378662109375
2001-02-07,19.36989402770996
2001-02-08,19.23987579345703
2001-02-09,18.979888916015625
2001-02-12,19.18138885498047
2001-02-13,19.01238250732422
2001-02-14,19.01238250732422
2001-02-15,19.187891006469727
2001-02-16,18.836883544921875
2001-02-20,18.485883712768555
2001-02-21,18.154396057128906
2001-02-22,18.069894790649414
2001-02-23,18.004898071289062
2001-02-26,18.355886459350586
2001-02-27,18.14788246154785
2001-02-28,17.887893676757812
2001-03-01,17.894393920898438
2001-03-02,17.81638526916504
2001-03-05,17.907386779785156
2001-03-06,18.095888137817383
2001-03-07,18.206384658813477
2001-03-08,18.199893951416016
2001-03-09,17.751388549804688
2001-03-12,16.997390747070312
2001-03-13,17.25739860534668
2001-03-14,16.834896087646484
2001-03-15,16.89339828491211
2001-03-16,16.543363571166992
2001-03-19,16.8497257232666
2001-03-20,16.458635330200195
2001-03-21,16.15226936340332
2001-03-22,16.0805721282959
2001-03-23,16.413005828857422
2001-03-26,16.59551239013672
2001-03-27,16.993131637573242
2001-03-28,16.569442749023438
2001-03-29,16.484703063964844
2001-03-30,16.686767578125
2001-04-02,16.42604637145996
2001-04-03,15.83287239074707
2001-04-04,15.780723571777344
2001-04-05,16.510774612426758
2001-04-06,16.178348541259766
2001-04-09,16.32174301147461
2001-04-10,16.77803611755371
2001-04-11,16.758468627929688
2001-04-12,17.01268196105957
2001-04-16,16.94097900390625
2001-04-17,17.123493194580078
2001-04-18,17.788358688354492
2001-04-19,18.03605842590332
2001-04-20,17.886133193969727
2001-04-23,17.59932518005371
2001-04-24,17.403779983520508
2001-04-25,17.690582275390625
2001-04-26,17.78183937072754
2001-04-27,18.049083709716797
2001-04-30,18.049083709716797
2001-05-01,18.296785354614258
2001-05-02,18.348922729492188
2001-05-03,18.068645477294922
2001-05-04,18.329374313354492
2001-05-07,18.27071189880371
2001-05-08,18.25115394592285
2001-05-09,18.17293357849121
2001-05-10,18.15989875793457
2001-05-11,18.029541015625
2001-05-14,17.64495849609375
2001-05-15,18.075151443481445
2001-05-16,18.570547103881836
2001-05-17,18.668319702148438
2001-05-18,18.71394920349121
2001-05-21,19.059417724609375
2001-05-22,19.033348083496094
2001-05-23,18.71394920349121
2001-05-24,18.79216194152832
2001-05-25,18.59662437438965
2001-05-29,18.414104461669922
2001-05-30,18.10123062133789
2001-05-31,18.231599807739258
2001-06-01,18.329374313354492
2001-06-04,18.420629501342773
2001-06-05,18.69439697265625
2001-06-06,18.511882781982422
2001-06-07,18.616168975830078
2001-06-08,18.43366241455078
2001-06-11,18.257671356201172
2001-06-12,18.27071189880371
2001-06-13,18.08167839050293
2001-06-14,17.736209869384766
2001-06-15,17.65799903869629
2001-06-18,17.5537052154541
2001-06-19,17.59280776977539
2001-06-20,17.775318145751953
2001-06-21,17.951311111450195
2001-06-22,17.778175354003906
2001-06-25,17.68016242980957
2001-06-26,17.68669319152832
2001-06-27,17.647491455078125
2001-06-28,17.87617301940918
